Wallet,Pending ORI,Pending JUMP,Formatted Pending ORI,Formatted Pending JUMP
0x06E0444De2397806621d0C61846394350436668d,160576903053499170000,32115380610699833000,160.57690305349917,32.11538061069983
0x07009cdA63301F0c12FBdB0BDE3388e0CfE23D3d,400845919.31438076,80169183.86287615,4.008459193143808e-10,8.016918386287615e-11
0x0713D8972c619A0254907aD7Fb95D48526Aa4e65,187180571059052580000,37436114211810520000,187.18057105905257,37.43611421181052
0x074a2807D0941a248109450ADD7b4aD521ACbB28,966679722331785200,193335944466357060,0.9666797223317852,0.19333594446635705
0x075AD09E2B27be785c863d756096D0aebCF13118,2537152043429831700,507430408685966340,2.5371520434298316,0.5074304086859663
0x076350863bB3E74Fb8FEF5642141F382986c62Da,196928265303082300,39385653060616460,0.1969282653030823,0.03938565306061646
0x076C48C9Ef4C50D84C689526d086bA56270e406c,864058035214859100000,172811607042971830000,864.0580352148592,172.81160704297181
0x0785C2c858b9ebB0089827b4544a563237C4CB18,400839798.31438076,80167959.66287616,4.008397983143808e-10,8.016795966287616e-11
0x07AdD328eC4F43b6d832ecef27F1a894b743b989,400853974.31438076,80170794.86287615,4.0085397431438074e-10,8.017079486287614e-11
0x07Cf726b5a7dfbE53D4962Bd67e6194D88382950,213453570039778840000,42690714007955770000,213.45357003977884,42.69071400795577
0x07e0a664D5f4B42E03BEB3A55E049EcEe85dc4A3,400833271.31438076,80166654.26287615,4.008332713143808e-10,8.016665426287615e-11
0x08252E5a4050455003f243AbAE646BB23Ae0811F,405745654381467400000,81149130876293480000,405.7456543814674,81.14913087629348
0x083F9b2916CE228a4120fe14C2352B8D990FEe5B,8189530636078850000,1637906127215770000,8.18953063607885,1.63790612721577
0x088444CF5Ad3dCe4e983f85a111876Ca2E3d3097,1890202195667735000,378040439133547000,1.890202195667735,0.378040439133547
0x0888D931A0bAA01F1B61f30E60eBc552de19ef87,252317275771206530000,50463455154241310000,252.31727577120654,50.46345515424131
0x08Ef0537adD673B1513C9429072dA3F97C7F1fDd,9038546336687563000,1807709267337512400,9.038546336687563,1.8077092673375124
0x08f02e21c9293a7c0972eA195A04757850882817,209387101259442600000,41877420251888520000,209.38710125944257,41.877420251888516
0x08f03D28Da6B1dddaC2fa0A9C80785FeAf49c9C2,231496108831435650000,46299221766287130000,231.49610883143566,46.29922176628713
0x0927a053d225a6b355d623039D93415d8aAB927f,12016609328109970000,2403321865621994000,12.01660932810997,2.403321865621994
0x097CeC51e07cfc941124E0ad6B9468c9382e16e0,5.37601485776537e+21,1.0752029715530741e+21,5376.014857765371,1075.2029715530741
0x097D7FedcCb4C99Ba2cDBCCC9610C58D3cc0c4De,400841248.31438076,80168249.66287616,4.008412483143808e-10,8.016824966287616e-11
0x099626964E1f15A770934EB8A9557FDb2f5f46A6,249193061141759900000,49838612228351975000,249.1930611417599,49.83861222835198
0x09c462FF84f6b530bE27F9984edDa7154Ab16A9a,407895049898556100000,81579009979711230000,407.8950498985561,81.57900997971123
0x09E9FF5CE31cfdB3054177C57210Bab2D0543cAD,400854620.31438076,80170924.06287615,4.0085462031438077e-10,8.017092406287615e-11
0x09F113e3fc12E0bB6107D34D0bAe233AaA641A56,710502386725407200000,142100477345081430000,710.5023867254072,142.10047734508143
